session_id,user_intent,action_name,tool_used,timestamp,action_risk,expected,violation_type
sess_0001,Backup customer database,authenticate,auth_service,2024-02-25 14:17:00,0.18,True,none
sess_0001,Backup customer database,backup_data,archive_tool,2024-02-25 14:17:14,0.27,True,none
sess_0001,Backup customer database,validate_input,input_validator,2024-02-25 14:18:07,0.14,True,none
sess_0001,Backup customer database,update_record,rest_client,2024-02-25 14:19:28,0.17,True,none
sess_0001,Backup customer database,backup_data,backup_service,2024-02-25 14:19:38,0.36,True,none
sess_0001,Backup customer database,db_query,postgres_client,2024-02-25 14:20:36,0.19,True,none
sess_0002,Migrate legacy data,authenticate,auth_service,2024-01-03 10:08:00,0.13,True,none
sess_0002,Migrate legacy data,parse_logs,elk_stack,2024-01-03 10:09:05,0.18,True,none
sess_0002,Migrate legacy data,generate_report,pdf_generator,2024-01-03 10:09:19,0.26,True,none
sess_0002,Migrate legacy data,aggregate_data,data_processor,2024-01-03 10:10:30,0.29,True,none
sess_0003,Consolidate regional data,authenticate,mfa_validator,2024-01-13 16:27:00,0.15,True,none
sess_0003,Consolidate regional data,parse_logs,elk_stack,2024-01-13 16:28:35,0.26,True,none
sess_0003,Consolidate regional data,update_record,rest_client,2024-01-13 16:29:38,0.11,True,none
sess_0003,Consolidate regional data,file_read,blob_storage,2024-01-13 16:31:10,0.35,True,none
sess_0003,Consolidate regional data,compress_files,archiver,2024-01-13 16:32:22,0.15,True,none
sess_0003,Consolidate regional data,send_notification,slack_api,2024-01-13 16:33:15,0.37,True,none
sess_0004,Migrate legacy data,authenticate,auth_service,2024-10-25 13:01:00,0.16,True,none
sess_0004,Migrate legacy data,update_record,orm_client,2024-10-25 13:02:30,0.37,True,none
sess_0004,Migrate legacy data,backup_data,archive_tool,2024-10-25 13:03:09,0.25,True,none
sess_0004,Migrate legacy data,compress_files,archiver,2024-10-25 13:03:26,0.4,True,none
sess_0004,Migrate legacy data,aggregate_data,data_processor,2024-10-25 13:04:56,0.25,True,none
sess_0004,Migrate legacy data,file_read,blob_storage,2024-10-25 13:05:28,0.23,True,none
sess_0004,Migrate legacy data,validate_input,input_validator,2024-10-25 13:06:37,0.14,True,none
sess_0005,Validate data quality,authenticate,sso_portal,2024-05-26 13:43:00,0.2,True,none
sess_0005,Validate data quality,backup_data,backup_service,2024-05-26 13:44:31,0.13,True,none
sess_0005,Validate data quality,send_notification,slack_api,2024-05-26 13:44:49,0.31,True,none
sess_0005,Validate data quality,backup_data,backup_service,2024-05-26 13:45:09,0.34,True,none
sess_0006,Deploy application update,authenticate,sso_portal,2024-09-23 14:01:00,0.13,True,none
sess_0006,Deploy application update,validate_input,sanitizer,2024-09-23 14:02:10,0.2,True,none
sess_0006,Deploy application update,validate_input,sanitizer,2024-09-23 14:03:04,0.29,True,none
sess_0006,Deploy application update,backup_data,backup_service,2024-09-23 14:03:34,0.32,True,none
sess_0007,Monitor system performance,authenticate,mfa_validator,2024-11-08 09:52:00,0.11,True,none
sess_0007,Monitor system performance,backup_data,archive_tool,2024-11-08 09:53:16,0.19,True,none
sess_0007,Monitor system performance,generate_report,pdf_generator,2024-11-08 09:54:49,0.21,True,none
sess_0007,Monitor system performance,update_record,rest_client,2024-11-08 09:56:07,0.14,True,none
sess_0007,Monitor system performance,parse_logs,elk_stack,2024-11-08 09:56:38,0.23,True,none
sess_0007,Monitor system performance,monitor_system,cloudwatch,2024-11-08 09:57:05,0.11,True,none
sess_0008,Migrate legacy data,authenticate,mfa_validator,2024-05-14 08:10:00,0.13,True,none
sess_0008,Migrate legacy data,send_notification,webhook_sender,2024-05-14 08:11:16,0.14,True,none
sess_0008,Migrate legacy data,db_query,mongodb_driver,2024-05-14 08:12:30,0.32,True,none
sess_0008,Migrate legacy data,parse_logs,elk_stack,2024-05-14 08:13:08,0.13,True,none
sess_0008,Migrate legacy data,aggregate_data,pandas_engine,2024-05-14 08:14:22,0.37,True,none
sess_0008,Migrate legacy data,backup_data,backup_service,2024-05-14 08:15:05,0.38,True,none
sess_0008,Migrate legacy data,aggregate_data,data_processor,2024-05-14 08:15:25,0.16,True,none
sess_0009,Generate monthly sales report,authenticate,mfa_validator,2024-05-19 11:05:00,0.13,True,none
sess_0009,Generate monthly sales report,send_notification,webhook_sender,2024-05-19 11:05:53,0.14,True,none
sess_0009,Generate monthly sales report,file_read,s3_client,2024-05-19 11:07:11,0.25,True,none
sess_0009,Generate monthly sales report,validate_input,schema_checker,2024-05-19 11:08:11,0.31,True,none
sess_0009,Generate monthly sales report,monitor_system,datadog_agent,2024-05-19 11:09:34,0.22,True,none
sess_0010,Archive old records,authenticate,mfa_validator,2024-03-20 08:57:00,0.16,True,none
sess_0010,Archive old records,update_record,rest_client,2024-03-20 08:58:13,0.28,True,none
sess_0010,Archive old records,validate_input,schema_checker,2024-03-20 08:59:51,0.36,True,none
sess_0010,Archive old records,compress_files,archiver,2024-03-20 09:00:47,0.19,True,none
sess_0010,Archive old records,monitor_system,datadog_agent,2024-03-20 09:01:24,0.34,True,none
sess_0010,Archive old records,file_read,s3_client,2024-03-20 09:01:58,0.39,True,none
sess_0010,Archive old records,backup_data,snapshot_manager,2024-03-20 09:02:15,0.25,True,none
sess_0010,Archive old records,send_notification,slack_api,2024-03-20 09:02:47,0.21,True,none
sess_0011,Generate compliance audit,authenticate,auth_service,2024-05-17 17:20:00,0.19,True,none
sess_0011,Generate compliance audit,parse_logs,elk_stack,2024-05-17 17:20:16,0.19,True,none
sess_0011,Generate compliance audit,parse_logs,splunk_forwarder,2024-05-17 17:21:25,0.2,True,none
sess_0011,Generate compliance audit,monitor_system,datadog_agent,2024-05-17 17:22:57,0.35,True,none
sess_0012,Consolidate regional data,authenticate,mfa_validator,2024-06-08 15:32:00,0.19,True,none
sess_0012,Consolidate regional data,update_record,orm_client,2024-06-08 15:32:45,0.15,True,none
sess_0012,Consolidate regional data,backup_data,archive_tool,2024-06-08 15:32:57,0.25,True,none
